Year,Region,Deaths,Population,%Death_Rate,%Rep_Leg,%Dem_Leg,%Mix_Leg,%Rep_Gov,%Dem_Gov,%Rep_State,%Dem_State,%Mix_State
2020,1,19763.0,15057350.0,0.131,50.0,50.0,0.0,33.33333333333333,66.66666666666666,16.666666666666664,33.33333333333333,50.0
2020,2,56797.0,29377965.0,0.193,100.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0
2020,3,34922.0,31266184.0,0.112,80.0,20.0,0.0,60.0,40.0,60.0,20.0,20.0
2020,4,70642.0,67334676.0,0.105,50.0,50.0,0.0,50.0,50.0,37.5,37.5,25.0
2020,5,66532.0,53069303.0,0.125,66.66666666666666,33.33333333333333,0.0,100.0,0.0,66.66666666666666,0.0,33.33333333333333
2020,6,52645.0,42990438.0,0.122,40.0,60.0,0.0,20.0,80.0,20.0,60.0,20.0
2020,7,18526.0,14247444.0,0.13,75.0,25.0,0.0,50.0,50.0,25.0,0.0,75.0
2020,8,11281.0,12403628.0,0.091,66.66666666666666,33.33333333333333,0.0,50.0,50.0,50.0,33.33333333333333,16.666666666666664
2020,9,46638.0,51277312.0,0.091,50.0,50.0,0.0,25.0,75.0,25.0,50.0,25.0
2020,10,7142.0,14553420.0,0.049,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2021,1,12787.0,15118145.0,0.085,33.33333333333333,66.66666666666666,0.0,33.33333333333333,66.66666666666666,16.666666666666664,50.0,33.33333333333333
2021,2,33778.0,29118817.0,0.116,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2021,3,42482.0,31313820.0,0.136,80.0,20.0,0.0,60.0,40.0,60.0,20.0,20.0
2021,4,117618.0,67852331.0,0.173,50.0,50.0,0.0,50.0,50.0,37.5,37.5,25.0
2021,5,69625.0,52925511.0,0.132,66.66666666666666,33.33333333333333,0.0,100.0,0.0,66.66666666666666,0.0,33.33333333333333
2021,6,72358.0,43334763.0,0.167,40.0,60.0,0.0,20.0,80.0,20.0,60.0,20.0
2021,7,18064.0,14272862.0,0.127,50.0,50.0,0.0,50.0,50.0,25.0,25.0,50.0
2021,8,13102.0,12514390.0,0.105,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2021,9,68414.0,51011813.0,0.134,25.0,75.0,0.0,25.0,75.0,25.0,75.0,0.0
2021,10,13957.0,14637308.0,0.095,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2022,1,9898.0,15175633.0,0.065,33.33333333333333,66.66666666666666,0.0,33.33333333333333,66.66666666666666,16.666666666666664,50.0,33.33333333333333
2022,2,22193.0,28998974.0,0.077,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2022,3,25788.0,31332316.0,0.082,40.0,60.0,0.0,20.0,40.0,20.0,20.0,60.0
2022,4,56897.0,68909415.0,0.083,50.0,50.0,0.0,50.0,50.0,37.5,37.5,25.0
2022,5,42634.0,52920713.0,0.081,50.0,50.0,0.0,83.33333333333334,0.0,50.0,0.0,50.0
2022,6,30934.0,43894976.0,0.07,40.0,60.0,0.0,20.0,80.0,20.0,60.0,20.0
2022,7,11327.0,14291804.0,0.079,50.0,50.0,0.0,50.0,50.0,25.0,25.0,50.0
2022,8,6772.0,12636799.0,0.054,33.33333333333333,66.66666666666666,0.0,33.33333333333333,50.0,33.33333333333333,50.0,16.666666666666664
2022,9,31547.0,51136455.0,0.062,25.0,75.0,0.0,25.0,75.0,25.0,75.0,0.0
2022,10,8448.0,14720236.0,0.057,25.0,75.0,0.0,25.0,50.0,25.0,50.0,25.0
2023,1,3836.0,15263573.0,0.025,60.0,40.0,0.0,40.0,60.0,40.0,40.0,20.0
2023,2,6637.0,29117009.0,0.023,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
2023,3,8415.0,31463710.0,0.027,40.0,60.0,0.0,20.0,40.0,20.0,20.0,60.0
2023,4,18084.0,69998063.0,0.026,62.5,37.5,0.0,50.0,50.0,50.0,37.5,12.5
2023,5,12739.0,53113233.0,0.024,83.33333333333334,16.666666666666664,0.0,83.33333333333334,0.0,83.33333333333334,0.0,16.666666666666664
2023,6,8286.0,44570470.0,0.019,40.0,60.0,0.0,20.0,80.0,20.0,60.0,20.0
2023,7,3446.0,14365816.0,0.024,100.0,0.0,0.0,66.66666666666666,33.33333333333333,66.66666666666666,0.0,33.33333333333333
2023,8,2230.0,12768282.0,0.017,40.0,60.0,0.0,40.0,40.0,40.0,40.0,20.0
2023,9,9287.0,51327470.0,0.018,33.33333333333333,66.66666666666666,0.0,33.33333333333333,66.66666666666666,33.33333333333333,66.66666666666666,0.0
2023,10,2940.0,14818605.0,0.02,25.0,75.0,0.0,25.0,50.0,25.0,50.0,25.0
2024,1,2422.0,15386085.0,0.016,50.0,50.0,0.0,33.33333333333333,66.66666666666666,33.33333333333333,50.0,16.666666666666664
2024,2,4060.0,29368099.0,0.014,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2024,3,5287.0,31677312.0,0.017,40.0,60.0,0.0,60.0,40.0,20.0,20.0,60.0
2024,4,11719.0,70994814.0,0.017,62.5,37.5,0.0,50.0,50.0,50.0,37.5,12.5
2024,5,7622.0,53412322.0,0.014,83.33333333333334,16.666666666666664,0.0,100.0,0.0,83.33333333333334,0.0,16.666666666666664
2024,6,5079.0,45202574.0,0.011,40.0,60.0,0.0,20.0,80.0,20.0,60.0,20.0
2024,7,2131.0,14463025.0,0.015,75.0,25.0,0.0,50.0,50.0,50.0,25.0,25.0
2024,8,1417.0,12907194.0,0.011,33.33333333333333,66.66666666666666,0.0,50.0,50.0,33.33333333333333,50.0,16.666666666666664
2024,9,5712.0,51727260.0,0.011,25.0,75.0,0.0,25.0,75.0,25.0,75.0,0.0
2024,10,1872.0,14972303.0,0.013,25.0,75.0,0.0,50.0,50.0,25.0,50.0,25.0
2025,1,500.0,15122011.0,0.003,50.0,50.0,0.0,33.33333333333333,66.66666666666666,33.33333333333333,50.0,16.666666666666664
2025,2,909.0,29492786.0,0.003,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2025,3,1165.0,31289162.0,0.004,40.0,60.0,0.0,60.0,40.0,20.0,20.0,60.0
2025,4,1929.0,67216994.0,0.003,62.5,37.5,0.0,50.0,50.0,50.0,37.5,12.5
2025,5,2056.0,53088054.0,0.004,83.33333333333334,16.666666666666664,0.0,100.0,0.0,83.33333333333334,0.0,16.666666666666664
2025,6,888.0,42895845.0,0.002,40.0,60.0,0.0,20.0,80.0,20.0,60.0,20.0
2025,7,496.0,14245141.0,0.003,75.0,25.0,0.0,50.0,50.0,50.0,25.0,25.0
2025,8,261.0,12373767.0,0.002,33.33333333333333,66.66666666666666,0.0,50.0,50.0,33.33333333333333,50.0,16.666666666666664
2025,9,772.0,51274631.0,0.002,25.0,75.0,0.0,25.0,75.0,25.0,75.0,0.0
2025,10,209.0,14517345.0,0.001,25.0,75.0,0.0,50.0,50.0,25.0,50.0,25.0
