Region,Year,Population
1,2020,15057350
1,2021,15118145
1,2022,15175633
1,2023,15263573
1,2024,15386085
1,2025,15122011
2,2020,29377965
2,2021,29118817
2,2022,28998974
2,2023,29117009
2,2024,29368099
2,2025,29492786
3,2020,31266184
3,2021,31313820
3,2022,31332316
3,2023,31463710
3,2024,31677312
3,2025,31289162
4,2020,67334676
4,2021,67852331
4,2022,68909415
4,2023,69998063
4,2024,70994814
4,2025,67216994
5,2020,53069303
5,2021,52925511
5,2022,52920713
5,2023,53113233
5,2024,53412322
5,2025,53088054
6,2020,42990438
6,2021,43334763
6,2022,43894976
6,2023,44570470
6,2024,45202574
6,2025,42895845
7,2020,14247444
7,2021,14272862
7,2022,14291804
7,2023,14365816
7,2024,14463025
7,2025,14245141
8,2020,12403628
8,2021,12514390
8,2022,12636799
8,2023,12768282
8,2024,12907194
8,2025,12373767
9,2020,51277312
9,2021,51011813
9,2022,51136455
9,2023,51327470
9,2024,51727260
9,2025,51274631
10,2020,14553420
10,2021,14637308
10,2022,14720236
10,2023,14818605
10,2024,14972303
10,2025,14517345
